"concept_id","concept_name","domain_id","vocabulary_id","standard_concept"
75053,"Fracture of bone","Condition","SNOMED","S"
200219,"Abdominal pain","Condition","SNOMED","S"
196523,"Diarrhea","Condition","SNOMED","S"
201606,"Crohn's disease","Condition","SNOMED","S"
255848,"Pneumonia","Condition","SNOMED","S"
314754,"Wheezing","Condition","SNOMED","S"
319049,"Acute respiratory failure","Condition","SNOMED","S"
317009,"Asthma","Condition","SNOMED","S"
586323,"degree Celsius","Unit","UCUM","S"
904542,"trimterene","Drug","RxNorm","S"
906890,"acetaminophen 500 MG / metoclopramide 5 MG Oral Tablet","Drug","RxNorm","S"
1118084,"celecoxib","Drug","RxNorm","S"
1125315,"acetaminophen","Drug","RxNorm","S"
1127078,"acetaminophen 160 MG Oral Tablet","Drug","RxNorm","S"
1127433,"acetaminophen 325 MG Oral Tablet","Drug","RxNorm","S"
19019072,"Ibuprofen 400 MG Oral Tablet","Drug","RxNorm","S"
1154343,"albuterol","Drug","RxNorm","S"
1154620,"12 HR albuterol 4 MG Extended Release Oral Tablet [Proventil]","Drug","RxNorm","S"
1201620,"Codeine","Drug","RxNorm","S"
1518254,"Dexamethasone","Drug","RxNorm","S"
1736887,"linezolid","Drug","RxNorm","S"
1713332,"Amoxicillin","Drug","RxNorm","S"
4041643,"Application of cast","Procedure","SNOMED","S"
4132152,"Complete blood count","Measurement","LOINC","S"
3000963,"Hemoglobin [Mass/volume] in Blood","Measurement","LOINC","S"
3020891,"Body temperature","Measurement","LOINC","S"
3010813,"Leukocytes [#/volume] in Blood","Measurement","LOINC","S"
3012888,"Diastolic blood pressure","Measurement","LOINC","S"
3025315,"Body weight","Measurement","LOINC","S"
3024171,"Respiratory rate","Measurement","LOINC","S"
3020891,"C-reactive protein","Measurement","LOINC","S"
3013502,"Oxygen saturation in Blood","Measurement","LOINC","S"
3024731,"MCV [Entitic mean volume] in Red Blood Cells","Measurement","LOINC","S"
3004249,"Systolic blood pressure","Measurement","LOINC","S"
3027315,"Oxygen [Partial pressure] in Blood","Measurement","LOINC","S"
3027018,"Heart rate","Measurement","LOINC","S"
3015183,"Erythrocyte sedimentation rate","Measurement","LOINC","S"
4249893,"Colonoscopy","Procedure","SNOMED","S"
37158404,"Invasive mechanical ventilation","Procedure","SNOMED","S"
4065643,"Fecal occult blood test","Procedure","SNOMED","S"
4208414,"C-reactive protein measurement","Procedure","SNOMED","S"
4294513,"Biopsy of colon","Procedure","SNOMED","S"
3655950,"High flow oxygen therapy","Procedure","SNOMED","S"
4024958,"Throat culture","Procedure","SNOMED","S"
4056681,"Plain X-ray","Procedure","SNOMED","S"
45772969,"On ventilator","Observation","SNOMED","S"
1245077,"Acute streptococcal pharyngitis","Condition","SNOMED","S"
36310704,"CT scan","Procedure","SNOMED","S"
4130851,"Injury of upper extremity","Condition","SNOMED","S"
4138933,"Admission to intensive care unit","Observation","SNOMED","S"
4230167,"Artificial ventilation","Procedure","SNOMED","S"
4230399,"Closed fracture of lateral malleolus","Condition","SNOMED","S"
4013354,"Insertion of endotracheal tube","Procedure","SNOMED","S"
4267147,"Platelet count","Measurement","SNOMED","S"
4232313,"Microbial identification kit, rapid strep method","Procedure","SNOMED","S"
4083230,"MRI of abdomen","Procedure","SNOMED","S"
437663,"Fever","Condition","SNOMED","S"
8507,"Male","Gender","Gender","S"
8515,"Asian","Race","Race","S"
8527,"White","Race","Race","S"
8532,"Female","Gender","Gender","S"
8541,"per minute","Unit","UCUM","S"
8550,"minute","Unit","UCUM","S"
8554,"percent","Unit","UCUM","S"
8698,"liter per minute","Unit","UCUM","S"
8713,"gram per deciliter","Unit","UCUM","S"
8729,"picomole per liter","Unit","UCUM","S"
8784,"cells per microliter","Unit","UCUM","S"
8840,"milligram per deciliter","Unit","UCUM","S"
8845,"picogram per milliliter","Unit","UCUM","S"
8876,"millimeter mercury column","Unit","UCUM","S"
9201,"Inpatient Visit","Visit","Visit","S"
9203,"Emergency Room Visit","Visit","Visit","S"
9529,"kilogram","Unit","UCUM","S"
40015015,"Benzocaine lozenge","Drug","RxNorm","S"
32020,"EHR encounter diagnosis","Type Concept","Type Concept",""
44818518,"Visit derived from EHR","Type Concept","Type Concept",""
37311061,"Disease caused by SARS-CoV-2","Condition","SNOMED","S"
38000177,"Prescription written","Type Concept","Type Concept",""
38000275,"EHR order list","Type Concept","Type Concept",""
38003564,"Not Hispanic or Latino","Ethnicity","Ethnicity","S"
4160001,"Clinical finding present","Observation","SNOMED","S"
40758558,"Short blood count panel","Measurement","LOINC","S"
40762352,"Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol","Measurement","LOINC","S"
4203130,"Discharge from hospital","Observation","SNOMED","S"
4076970,"Mechanism of injury","Observation","SNOMED",""
4143268,"Seen by radiology service","Observation","SNOMED","S"
4306165,"Discharge instructions","Observation","SNOMED","S"
4181412,"Present","Meas Value","SNOMED","S"
38003598,"Black","Race","Race","S"
38003563,"Hispanic or Latino","Ethnicity","Ethnicity","S"
38003574,"Asian Indian","Race","Race","S"
1546802,"Mexican","Race","Race","S"
